,1,3,2,5:4
Signature.1,0.0,0.446052114521,0.0415207223185,0.0
Signature.2,0.0,0.0222595664739,0.0,0.0474706182703
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0,0.0,0.0181333674141,0.0
Signature.5,0.0,0.0,0.190345922881,0.0
Signature.6,0.026953853595,0.0,0.042742834304,0.0
Signature.7,0.0,0.0988222249851,0.0,0.0
Signature.8,0.0,0.0140517480795,0.0,0.0
Signature.9,0.0,0.0251433770579,0.0,0.0
Signature.10,0.0105599492127,0.0,0.133974240208,0.142762381625
Signature.11,0.208676553807,0.0,0.0105578266549,0.0
Signature.12,0.0755307182853,0.0,0.0282967265914,0.0
Signature.13,0.0,0.0591109626603,0.0,0.041914137142
Signature.14,0.0,0.0,0.0,0.0115979585899
Signature.15,0.0,0.0,0.109846003883,0.0
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0,0.0,0.166084015157,0.0
Signature.18,0.0290203768669,0.0169080381821,0.0404627710672,0.0
Signature.19,0.067439633832,0.0,0.0,0.0
Signature.20,0.0,0.0,0.0,0.0
Signature.21,0.0,0.0240416904063,0.0153254323521,0.373643803183
Signature.22,0.0803527897019,0.0,0.0,0.0420244620552
Signature.23,0.014947462386,0.0,0.0634861525238,0.0298480416449
Signature.24,0.0124271571873,0.0,0.0,0.0960231045425
Signature.25,0.256616978243,0.0654479074024,0.139223984645,0.0868357337637
Signature.26,0.0,0.146524613587,0.0,0.0814034393498
Signature.27,0.0,0.0,0.0,0.0
Signature.28,0.0718030466223,0.0816377566452,0.0,0.0
Signature.29,0.0978734563071,0.0,0.0,0.0
Signature.30,0.0477980239534,0.0,0.0,0.046476319834
