,11:9:10,1:3:2:5:4:7:6:8
Signature.1,0.0,0.0
Signature.2,0.0,0.0376475474875
Signature.3,0.127984126974,0.0929029500365
Signature.4,0.269756914301,0.123741749631
Signature.5,0.0,0.0
Signature.6,0.0,0.0212810744593
Signature.7,0.0,0.0158216555201
Signature.8,0.0312909615099,0.0
Signature.9,0.0478142712986,0.101734929844
Signature.10,0.0,0.0
Signature.11,0.0,0.0
Signature.12,0.0230143960847,0.0
Signature.13,0.0,0.0
Signature.14,0.0221774045244,0.0471987177994
Signature.15,0.0,0.0
Signature.16,0.0,0.0568750872577
Signature.17,0.133026009237,0.0697251761622
Signature.18,0.0,0.0373085305336
Signature.19,0.0,0.0
Signature.20,0.0,0.0
Signature.21,0.0,0.0108849543383
Signature.22,0.026108844079,0.0
Signature.23,0.0239456545907,0.0
Signature.24,0.0532074681051,0.0504317745239
Signature.25,0.0,0.0
Signature.26,0.0738589277826,0.0130260228257
Signature.27,0.0591501095111,0.0667815846622
Signature.28,0.0173778686353,0.0112104202444
Signature.29,0.0363296439985,0.0128386240231
Signature.30,0.0549573993676,0.230589200652
