,1:3:2:5:4,7:6,9,8
Signature.1,0.0,0.0911517666021,0.0,0.036137362817
Signature.2,0.0,0.0298415099745,0.0,0.0380742264588
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0,0.101498123616,0.0,0.0
Signature.5,0.0121010162866,0.0132062727573,0.0,0.0
Signature.6,0.07877012216,0.0,0.103543099312,0.0340092283132
Signature.7,0.0175467754038,0.0,0.236107900998,0.0
Signature.8,0.0961381700038,0.0,0.0279636288765,0.0
Signature.9,0.0,0.0,0.0,0.0
Signature.10,0.0734547848101,0.0,0.0,0.148800741372
Signature.11,0.0,0.281252390843,0.0613050682228,0.0
Signature.12,0.0853585475298,0.0,0.0235892426525,0.0787151774786
Signature.13,0.142884189315,0.0842357318776,0.0,0.0618259836639
Signature.14,0.0376028996977,0.0,0.0545975425215,0.102163191874
Signature.15,0.0,0.0,0.0,0.0
Signature.16,0.0,0.0,0.0,0.0332685619498
Signature.17,0.0,0.011220427704,0.0,0.0
Signature.18,0.0,0.0,0.0,0.0
Signature.19,0.0,0.0,0.159530241488,0.128259498641
Signature.20,0.22743586378,0.0194590836412,0.0358524364035,0.0
Signature.21,0.028517893065,0.055134673112,0.0,0.0
Signature.22,0.0,0.0359143836744,0.0,0.10898286304
Signature.23,0.0,0.0,0.0,0.0
Signature.24,0.0,0.200327691134,0.0113394169285,0.0
Signature.25,0.0,0.0,0.140490311617,0.0
Signature.26,0.0,0.0,0.131685117699,0.016704672449
Signature.27,0.0120159741341,0.0,0.0,0.0270269949656
Signature.28,0.094200671671,0.0,0.0,0.120932503837
Signature.29,0.0,0.0510586736587,0.0139959932823,0.0
Signature.30,0.093973092143,0.0256992714061,0.0,0.0650989931398
