,1:3:2:5:4:9,8:7:6
Signature.1,0.0112341912945,0.0330476362004
Signature.2,0.0172828803702,0.0
Signature.3,0.0,0.0
Signature.4,0.200851028562,0.0
Signature.5,0.0,0.0
Signature.6,0.0,0.0
Signature.7,0.0,0.0
Signature.8,0.0,0.0729780222072
Signature.9,0.0378107611855,0.0
Signature.10,0.0,0.0354694837468
Signature.11,0.269685514462,0.182467374967
Signature.12,0.0,0.0
Signature.13,0.0,0.0
Signature.14,0.129087914168,0.0152230430349
Signature.15,0.013549722385,0.0221430059101
Signature.16,0.0,0.118458934329
Signature.17,0.0921996058746,0.0255579980102
Signature.18,0.0174000046677,0.0719349401749
Signature.19,0.0706755466154,0.0
Signature.20,0.0,0.137154446441
Signature.21,0.0,0.0
Signature.22,0.0425188559593,0.0
Signature.23,0.0,0.108714504878
Signature.24,0.0977039744562,0.0
Signature.25,0.0,0.0
Signature.26,0.0,0.0775677318971
Signature.27,0.0,0.0
Signature.28,0.0,0.0
Signature.29,0.0,0.0
Signature.30,0.0,0.0992828782036
