,1:3:5:4,2,7,6
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.0,0.0726937206345,0.205714667564,0.0685991808418
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0,0.0474314976325,0.038805667193,0.062957007889
Signature.5,0.153468672109,0.0,0.0,0.0268204800783
Signature.6,0.0,0.0,0.0,0.0
Signature.7,0.0652572596721,0.0,0.0,0.0
Signature.8,0.0,0.02017264861,0.0591072831339,0.0
Signature.9,0.0,0.0,0.0310470455502,0.0
Signature.10,0.216954094053,0.0,0.0350883991123,0.0189879026172
Signature.11,0.0,0.0130553327832,0.0,0.477840708421
Signature.12,0.195124801113,0.0149723728988,0.117241858471,0.0
Signature.13,0.0,0.0165994275224,0.0,0.0109529724748
Signature.14,0.0488167467847,0.129919522065,0.0117900284729,0.0
Signature.15,0.113038126351,0.0,0.0121229694878,0.0
Signature.16,0.0,0.0321409660662,0.0,0.0
Signature.17,0.0,0.0,0.0289423520232,0.0
Signature.18,0.0,0.0,0.0,0.0
Signature.19,0.0,0.03435721699,0.0,0.0201152201239
Signature.20,0.0,0.0,0.0664585586733,0.0430991372944
Signature.21,0.0,0.0809017289556,0.0,0.0112473151205
Signature.22,0.0,0.0,0.0,0.0
Signature.23,0.0697030301327,0.0259182684737,0.0,0.0
Signature.24,0.101552553958,0.0186330058741,0.0128813235023,0.103431548357
Signature.25,0.0,0.0,0.216935353394,0.0
Signature.26,0.0,0.409338082364,0.163864493422,0.145200108951
Signature.27,0.0,0.0,0.0,0.0107484178308
Signature.28,0.0,0.0493441659469,0.0,0.0
Signature.29,0.0142240647124,0.0,0.0,0.0
Signature.30,0.0218606511135,0.0345220431833,0.0,0.0
