,1:3:2:5:4,7:6
Signature.1,0.0,0.0
Signature.2,0.0234128535866,0.103494045277
Signature.3,0.0104532904143,0.0595175991167
Signature.4,0.0,0.107352968192
Signature.5,0.349183534724,0.0
Signature.6,0.111442382671,0.0794792330652
Signature.7,0.203055890006,0.100037496507
Signature.8,0.0,0.0
Signature.9,0.0,0.0
Signature.10,0.0,0.0118702687008
Signature.11,0.0,0.0
Signature.12,0.0,0.0
Signature.13,0.0,0.174776864175
Signature.14,0.0155893221776,0.0
Signature.15,0.0,0.0
Signature.16,0.0344969292816,0.0360755552413
Signature.17,0.0,0.0
Signature.18,0.0,0.0
Signature.19,0.0,0.0
Signature.20,0.0275841543124,0.0408606705068
Signature.21,0.0,0.0
Signature.22,0.0696326444688,0.0139817562009
Signature.23,0.0170532327372,0.0
Signature.24,0.0,0.0470300555207
Signature.25,0.0160984149012,0.0867159081173
Signature.26,0.0954772229365,0.0292932271147
Signature.27,0.0,0.0
Signature.28,0.0,0.0340697628296
Signature.29,0.0,0.0
Signature.30,0.0265201277822,0.0754445894352
