,1:3:2:4,5
Signature.1,0.086606723345,0.129348852117
Signature.2,0.0317563190776,0.0195751980515
Signature.3,0.0,0.0140075125021
Signature.4,0.0201532958792,0.0
Signature.5,0.0269001234698,0.0
Signature.6,0.0,0.104184682166
Signature.7,0.0124088747425,0.0692064546432
Signature.8,0.109471954807,0.0
Signature.9,0.0904036984245,0.0
Signature.10,0.0,0.0
Signature.11,0.0,0.0
Signature.12,0.0271684261773,0.0407428666349
Signature.13,0.0,0.0
Signature.14,0.0,0.0
Signature.15,0.0118137952479,0.0
Signature.16,0.0,0.0374118104463
Signature.17,0.430076545636,0.0
Signature.18,0.0600072389363,0.108869403005
Signature.19,0.0,0.0
Signature.20,0.0,0.0
Signature.21,0.0,0.0
Signature.22,0.0142428466986,0.0
Signature.23,0.0,0.0719100241577
Signature.24,0.0,0.0
Signature.25,0.022847526058,0.0707281838278
Signature.26,0.0,0.0320370408965
Signature.27,0.0190237371787,0.040671420042
Signature.28,0.015614311764,0.132543953918
Signature.29,0.0215045825569,0.0278278151077
Signature.30,0.0,0.100934782483
