,1:3:2:5:4:7:6
Signature.1,0.0
Signature.2,0.0
Signature.3,0.297798325244
Signature.4,0.0852215452509
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0298573846681
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.140052212863
Signature.12,0.0433886762009
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0499240197812
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0714144957142
Signature.19,0.0
Signature.20,0.0434672615738
Signature.21,0.0370464566562
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0604201362736
Signature.27,0.103044610792
Signature.28,0.0
Signature.29,0.0383648749816
Signature.30,0.0
