,11,10:1:3:2:5:4:7:6:9:8
Signature.1,0.0,0.0
Signature.2,0.0,0.0203480112288
Signature.3,0.0,0.0
Signature.4,0.0,0.0
Signature.5,0.0,0.0187344748076
Signature.6,0.0,0.0
Signature.7,0.0,0.0229292855673
Signature.8,0.159919342659,0.256269925072
Signature.9,0.0196759743738,0.0683216504785
Signature.10,0.0,0.0271888386799
Signature.11,0.0,0.0312842524511
Signature.12,0.0,0.0122782891898
Signature.13,0.0,0.0
Signature.14,0.0462525944663,0.0
Signature.15,0.0,0.0
Signature.16,0.0,0.0
Signature.17,0.0,0.0
Signature.18,0.0,0.116147244889
Signature.19,0.277454865476,0.0
Signature.20,0.0,0.0
Signature.21,0.0,0.0655970368796
Signature.22,0.0,0.0
Signature.23,0.306787015826,0.0
Signature.24,0.0637076241802,0.0
Signature.25,0.0,0.101161384667
Signature.26,0.108510800338,0.133417606802
Signature.27,0.0176917826803,0.0751257052153
Signature.28,0.0,0.0511962940729
Signature.29,0.0,0.0
Signature.30,0.0,0.0
