,1:3:2:7:6:9,5,4,8
Signature.1,0.0193525449986,0.0,0.0,0.219721140536
Signature.2,0.0,0.0,0.0394732478401,0.0442304414362
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0,0.0137820163298,0.0200890404233,0.0
Signature.5,0.0,0.0159927965362,0.0596364819353,0.0948131711974
Signature.6,0.0887889684537,0.228023667932,0.0,0.0894665315203
Signature.7,0.0,0.0567315885126,0.0,0.0
Signature.8,0.0274472425769,0.165616359529,0.0,0.0
Signature.9,0.0542712699586,0.0,0.0,0.0
Signature.10,0.0,0.0,0.0,0.0
Signature.11,0.0282908928862,0.0,0.0,0.0
Signature.12,0.0,0.02669796941,0.0,0.326496804986
Signature.13,0.0,0.0,0.0587361318865,0.0
Signature.14,0.0,0.0,0.0329889981706,0.0
Signature.15,0.0,0.0,0.0871138018536,0.0153814319808
Signature.16,0.0,0.0235876107987,0.152561672845,0.0
Signature.17,0.187972240098,0.177871727385,0.17431857267,0.0486619799706
Signature.18,0.0,0.0,0.022133630061,0.0
Signature.19,0.0,0.0,0.10374827916,0.0867033328985
Signature.20,0.0,0.0281690369901,0.0298086536669,0.0
Signature.21,0.0487944198838,0.0201099450808,0.0,0.0
Signature.22,0.0109224651993,0.122973690257,0.0,0.0350199053326
Signature.23,0.207283694413,0.0,0.05950985699,0.0395052601417
Signature.24,0.0,0.0,0.0,0.0
Signature.25,0.0,0.0266656486887,0.0,0.0
Signature.26,0.014509682344,0.0,0.0433412586811,0.0
Signature.27,0.0,0.0,0.0,0.0
Signature.28,0.0573459692786,0.0120567096912,0.116540373816,0.0
Signature.29,0.179284209327,0.0817212328584,0.0,0.0
Signature.30,0.0757364005822,0.0,0.0,0.0
