,11:10:1:3:2:5:4:7:6:9:8
Signature.1,0.157343306589
Signature.2,0.0
Signature.3,0.105354071886
Signature.4,0.13784732386
Signature.5,0.015491094565
Signature.6,0.0346391859563
Signature.7,0.0
Signature.8,0.0703376612391
Signature.9,0.013364463464
Signature.10,0.0197009619631
Signature.11,0.019129685204
Signature.12,0.0208639376286
Signature.13,0.104327177976
Signature.14,0.0
Signature.15,0.0141072159658
Signature.16,0.0213756634118
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0522509633033
Signature.21,0.0521442916383
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0311175378323
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0
Signature.30,0.130605457517
