,1:3:2:5:4:7:6
Signature.1,0.0495552760612
Signature.2,0.0163455881448
Signature.3,0.0157720613028
Signature.4,0.0642965736526
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0318692737368
Signature.8,0.0353540344403
Signature.9,0.0
Signature.10,0.262052139798
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.157719661836
Signature.16,0.0
Signature.17,0.0227003654996
Signature.18,0.0363718339103
Signature.19,0.0
Signature.20,0.0689920384167
Signature.21,0.0263658215863
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0704282514077
Signature.25,0.0214808378065
Signature.26,0.0792692034253
Signature.27,0.0156110690314
Signature.28,0.0
Signature.29,0.0109695143728
Signature.30,0.0148464555711
