,11,9:10,1:3:2:5:4:7:6:8
Signature.1,0.0119856284075,0.0,0.0280815858356
Signature.2,0.0,0.0,0.0
Signature.3,0.0782013804071,0.0,0.0
Signature.4,0.0209684863543,0.109902850704,0.0
Signature.5,0.01247530073,0.0,0.0
Signature.6,0.0572761083457,0.0461223697543,0.0655647584576
Signature.7,0.0,0.0,0.160334904522
Signature.8,0.0,0.0106620132082,0.0
Signature.9,0.0961335740433,0.032487356052,0.01990611244
Signature.10,0.0,0.125579632798,0.150630968363
Signature.11,0.0303269323825,0.0,0.0136484406248
Signature.12,0.0483945131298,0.0176998338729,0.0
Signature.13,0.0,0.0437297116656,0.0863442608174
Signature.14,0.0,0.145500944156,0.094095050784
Signature.15,0.0,0.0,0.012619390063
Signature.16,0.0,0.0,0.0
Signature.17,0.0,0.0195735044405,0.0
Signature.18,0.0,0.0,0.0
Signature.19,0.0190460044154,0.0363948457233,0.0
Signature.20,0.0,0.0,0.0
Signature.21,0.062199663955,0.0392522921769,0.0
Signature.22,0.0787084090078,0.0369604342596,0.0
Signature.23,0.0,0.0,0.0
Signature.24,0.0401411966619,0.0,0.320647471313
Signature.25,0.188701444743,0.0,0.0108307945758
Signature.26,0.0731250336408,0.086044406154,0.0372962622042
Signature.27,0.0,0.0573493809926,0.0
Signature.28,0.182316323776,0.192740424041,0.0
Signature.29,0.0,0.0,0.0
Signature.30,0.0,0.0,0.0
