,11,10:1:3:5:4:9:8,2,7:6
Signature.1,0.0990982616548,0.0177759727501,0.0,0.0805699017249
Signature.2,0.0,0.0214046042322,0.0,0.0
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.127641750586,0.0160258958522,0.0,0.131175848744
Signature.5,0.0,0.0,0.0359662788698,0.0
Signature.6,0.16003182352,0.0,0.0201712134177,0.0
Signature.7,0.172493540108,0.0,0.0147494593402,0.0
Signature.8,0.0223875111304,0.0113116224155,0.0,0.0114277231037
Signature.9,0.0,0.0,0.0,0.0701150208676
Signature.10,0.0114915209102,0.0569092876012,0.0,0.0
Signature.11,0.0121573541898,0.0,0.0,0.0
Signature.12,0.0257136749607,0.0216539882517,0.0,0.0
Signature.13,0.015237050929,0.0,0.0283451474489,0.114824717915
Signature.14,0.0,0.0,0.0236256674364,0.0651534591409
Signature.15,0.0546084547226,0.165228054922,0.0,0.2205216336
Signature.16,0.0,0.0345563535697,0.106125734123,0.0
Signature.17,0.0,0.187356912058,0.0,0.0190698438949
Signature.18,0.0,0.0174582593297,0.0610060633447,0.0
Signature.19,0.0254147115046,0.0,0.193246426928,0.0313108816427
Signature.20,0.145854693783,0.0,0.0,0.019055577708
Signature.21,0.0,0.0,0.0,0.0
Signature.22,0.0381852931172,0.117771120974,0.0,0.1846872887
Signature.23,0.0108935907348,0.0205982478937,0.195214989358,0.0
Signature.24,0.0,0.0151668967518,0.139845527804,0.0202941918689
Signature.25,0.0,0.1872373455,0.10863599415,0.0
Signature.26,0.0787907681491,0.0107440339976,0.0,0.0161664382083
Signature.27,0.0,0.0563152388485,0.0432941859011,0.0
Signature.28,0.0,0.0116655000777,0.0297733118779,0.0
Signature.29,0.0,0.0308206649747,0.0,0.0156274728809
Signature.30,0.0,0.0,0.0,0.0
