,1:4,3,2,5
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.0,0.0,0.0,0.121243700423
Signature.3,0.0,0.0643952334755,0.0,0.0
Signature.4,0.0,0.0184438582833,0.136004405682,0.0560891615428
Signature.5,0.0249034170111,0.0512265227275,0.0,0.299838043955
Signature.6,0.030598402045,0.0,0.0869751606702,0.0
Signature.7,0.238337467718,0.0,0.0368837318136,0.0
Signature.8,0.0,0.0,0.0684189012581,0.0
Signature.9,0.130467843765,0.0,0.0,0.0
Signature.10,0.11886391554,0.0535296230957,0.0,0.0
Signature.11,0.0,0.0,0.0190512937752,0.0463545323503
Signature.12,0.0,0.0,0.13146889019,0.0730487783549
Signature.13,0.0,0.0783717654755,0.0681487318929,0.0
Signature.14,0.0,0.0,0.02837259817,0.0731927592742
Signature.15,0.0,0.0,0.0,0.0218949765135
Signature.16,0.0392502865544,0.0,0.0,0.0572845930387
Signature.17,0.0,0.0,0.0,0.0286576495784
Signature.18,0.0,0.177434718165,0.0,0.0
Signature.19,0.0,0.114469324602,0.0598674912853,0.130840261997
Signature.20,0.114482426366,0.0236035726993,0.0,0.0
Signature.21,0.0,0.022355421324,0.0171474787967,0.0303644394682
Signature.22,0.0,0.0576051708545,0.0,0.0
Signature.23,0.0,0.0264951755461,0.0224174829389,0.0
Signature.24,0.0741501572625,0.0150637456122,0.0562342957919,0.0289373923711
Signature.25,0.0,0.0745461757864,0.0,0.0
Signature.26,0.0277414565843,0.222459692353,0.0,0.0
Signature.27,0.0,0.0,0.071921320308,0.0
Signature.28,0.0,0.0,0.0542844103069,0.0
Signature.29,0.154459561897,0.0,0.118995830292,0.0322537111325
Signature.30,0.0467450652565,0.0,0.0238079768279,0.0
