,11:10:1:3:2:5:4:9:8,7:6
Signature.1,0.0231565900931,0.117126207844
Signature.2,0.0,0.0
Signature.3,0.0,0.0
Signature.4,0.0,0.0
Signature.5,0.0311702970275,0.0
Signature.6,0.0667870911814,0.0
Signature.7,0.0,0.0495548038513
Signature.8,0.0,0.0
Signature.9,0.411158394473,0.0
Signature.10,0.0353161747604,0.0
Signature.11,0.0,0.0
Signature.12,0.0582711086378,0.0
Signature.13,0.0,0.0
Signature.14,0.0730866382013,0.0
Signature.15,0.0127368497823,0.0
Signature.16,0.0,0.0
Signature.17,0.0,0.0
Signature.18,0.0,0.0
Signature.19,0.145825047565,0.0
Signature.20,0.0,0.0
Signature.21,0.0,0.217874712063
Signature.22,0.0252209795629,0.0577443074539
Signature.23,0.0,0.0494328511386
Signature.24,0.0,0.0
Signature.25,0.0764825092168,0.0332900695652
Signature.26,0.0,0.0
Signature.27,0.0220047279912,0.404132776313
Signature.28,0.0,0.0458510203681
Signature.29,0.0,0.0249932514034
Signature.30,0.0187835915067,0.0
