,11:9:10,1:3:2:5:4:7:6:8
Signature.1,0.0,0.0
Signature.2,0.0,0.0
Signature.3,0.0,0.0
Signature.4,0.112749107049,0.0
Signature.5,0.0,0.0
Signature.6,0.0741439698087,0.0
Signature.7,0.0,0.0
Signature.8,0.0,0.0
Signature.9,0.0,0.0
Signature.10,0.0,0.0
Signature.11,0.0322160337694,0.0
Signature.12,0.0,0.0906845626349
Signature.13,0.100590794388,0.0
Signature.14,0.0718695665243,0.0
Signature.15,0.0,0.0537730117785
Signature.16,0.125439348988,0.0554685436047
Signature.17,0.0,0.0
Signature.18,0.0262020413126,0.0
Signature.19,0.0413433323484,0.570540350674
Signature.20,0.0920076340851,0.0168404832022
Signature.21,0.0,0.0
Signature.22,0.0,0.0
Signature.23,0.173291999289,0.0
Signature.24,0.0,0.0447867288622
Signature.25,0.0,0.0337900217561
Signature.26,0.0105471043763,0.0243247638549
Signature.27,0.037230848513,0.0
Signature.28,0.0801137118403,0.0621408035621
Signature.29,0.0222545077089,0.0476507300702
Signature.30,0.0,0.0
