,1:9:3:2:5,4,8:7:6
Signature.1,0.0,0.0104185014987,0.013576851589
Signature.2,0.0360609846882,0.0,0.0
Signature.3,0.0,0.0,0.0
Signature.4,0.0,0.0961827059122,0.16466025539
Signature.5,0.0578062562085,0.0,0.014791433356
Signature.6,0.0620289117749,0.0,0.0
Signature.7,0.0,0.0,0.0
Signature.8,0.0,0.169423132589,0.0
Signature.9,0.0233703674819,0.0,0.0
Signature.10,0.0688370783433,0.0,0.0740986915787
Signature.11,0.0696250351766,0.164975485319,0.0
Signature.12,0.040697334364,0.0808591378297,0.020139596969
Signature.13,0.0,0.0,0.0
Signature.14,0.0115090886843,0.04498255589,0.0
Signature.15,0.0,0.0310301425517,0.0
Signature.16,0.0335769674563,0.0,0.0183220183231
Signature.17,0.0,0.0,0.375852391315
Signature.18,0.0,0.190488522062,0.169883387304
Signature.19,0.0743021675943,0.0,0.0
Signature.20,0.0,0.0266127694326,0.0
Signature.21,0.101839564564,0.0,0.0
Signature.22,0.0,0.0117137778821,0.0
Signature.23,0.0,0.0,0.0328735040114
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.0,0.0108395410168
Signature.26,0.0,0.143425468483,0.0816701953532
Signature.27,0.0354125075181,0.0142603844472,0.0232921337935
Signature.28,0.384933736146,0.0,0.0
Signature.29,0.0,0.0156274161023,0.0
Signature.30,0.0,0.0,0.0
