,1:3:2:5:4:7:6
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0
Signature.4,0.087170138794
Signature.5,0.0750448155589
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0
Signature.9,0.292240033132
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0
Signature.14,0.012382062143
Signature.15,0.0143004918796
Signature.16,0.0628960303556
Signature.17,0.0
Signature.18,0.12559066435
Signature.19,0.157695221644
Signature.20,0.0153708295473
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0
Signature.24,0.157309712595
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0
