,11:9:10,1:3:2:5:4:7:6:8
Signature.1,0.228355623167,0.0
Signature.2,0.0,0.0260488673092
Signature.3,0.0331536901156,0.0546509987716
Signature.4,0.0121396341951,0.0
Signature.5,0.05163573976,0.0
Signature.6,0.0635254757298,0.0
Signature.7,0.0110961649044,0.319695503836
Signature.8,0.0417423309927,0.0185015202195
Signature.9,0.0,0.0
Signature.10,0.0,0.0
Signature.11,0.0,0.0
Signature.12,0.145212851356,0.0815009341244
Signature.13,0.0,0.0142499164322
Signature.14,0.0,0.0
Signature.15,0.011514419075,0.120976347317
Signature.16,0.0,0.0443191824835
Signature.17,0.0,0.0154300836136
Signature.18,0.0,0.0808385648253
Signature.19,0.0,0.0
Signature.20,0.0321785466427,0.0
Signature.21,0.0,0.0
Signature.22,0.0,0.0
Signature.23,0.140339928997,0.0544284702987
Signature.24,0.0,0.0
Signature.25,0.0166357829626,0.0
Signature.26,0.141478468703,0.0
Signature.27,0.0,0.0866934849465
Signature.28,0.0709913433991,0.0
Signature.29,0.0,0.0156028176822
Signature.30,0.0,0.0670633081404
