,1:3:2
Signature.1,0.0252195187217
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0
Signature.5,0.191526137723
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0281920537936
Signature.9,0.0104108602172
Signature.10,0.0
Signature.11,0.021557420194
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0773559370052
Signature.16,0.0
Signature.17,0.0
Signature.18,0.172619571474
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0233985381568
Signature.23,0.0296187153753
Signature.24,0.0450975041197
Signature.25,0.197647848566
Signature.26,0.0
Signature.27,0.0241309522331
Signature.28,0.136791742661
Signature.29,0.0
Signature.30,0.0164331997591
