,1:3:2:5:4
Signature.1,0.0142776180685
Signature.2,0.0
Signature.3,0.0
Signature.4,0.483866835033
Signature.5,0.0245976370149
Signature.6,0.0874885551104
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0282466746696
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0698283626101
Signature.16,0.0
Signature.17,0.0472767953286
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0
Signature.27,0.169325093929
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0750924282361
