,1:3:2:5:4:7:6
Signature.1,0.0
Signature.2,0.0255216337335
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0342687591391
Signature.8,0.0
Signature.9,0.0896735786589
Signature.10,0.0
Signature.11,0.0
Signature.12,0.32349385245
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0870559927339
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0
Signature.22,0.128147069565
Signature.23,0.269870154021
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0131310235048
Signature.27,0.0
Signature.28,0.0288379361948
Signature.29,0.0
Signature.30,0.0
