,11,9:10,1:3:2:5:4:7:6:8
Signature.1,0.0,0.0,0.113242164831
Signature.2,0.0,0.116456396126,0.0
Signature.3,0.407649435501,0.0121930179418,0.0414022744634
Signature.4,0.0373953789589,0.0,0.0
Signature.5,0.0,0.0,0.0
Signature.6,0.0224428458539,0.0,0.332697199125
Signature.7,0.124499617782,0.0,0.0738189644222
Signature.8,0.0,0.19789685216,0.0
Signature.9,0.0420794875776,0.0,0.194826739315
Signature.10,0.0,0.0,0.0
Signature.11,0.0,0.0193888468887,0.0
Signature.12,0.0,0.351206371005,0.0
Signature.13,0.0123876426288,0.0,0.027579049741
Signature.14,0.0,0.0,0.0
Signature.15,0.0,0.0188712288361,0.0190890325504
Signature.16,0.0,0.0339854135005,0.0
Signature.17,0.0112488341581,0.0,0.0
Signature.18,0.0,0.121946612631,0.0
Signature.19,0.0188548087832,0.0,0.101039204611
Signature.20,0.0,0.0,0.0
Signature.21,0.0,0.0,0.0205289969731
Signature.22,0.0,0.0377046472466,0.0
Signature.23,0.0,0.0,0.0
Signature.24,0.0121018886598,0.0,0.0
Signature.25,0.10731586221,0.0568820499293,0.075776373968
Signature.26,0.190782401308,0.0,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.0,0.0,0.0
Signature.29,0.013241796579,0.0334685637356,0.0
Signature.30,0.0,0.0,0.0
