,1:3:2:5:7:6,4
Signature.1,0.0,0.0239834110488
Signature.2,0.0,0.0
Signature.3,0.0361822940347,0.0679633070107
Signature.4,0.0,0.0
Signature.5,0.0281990942573,0.0337239654575
Signature.6,0.0,0.0
Signature.7,0.0,0.0
Signature.8,0.0,0.0
Signature.9,0.111826805512,0.0
Signature.10,0.0,0.140548036486
Signature.11,0.0203330486648,0.0
Signature.12,0.0490249038811,0.0
Signature.13,0.0,0.0
Signature.14,0.0,0.0753058730091
Signature.15,0.0,0.0
Signature.16,0.0,0.032901902271
Signature.17,0.0414685626394,0.0748217359697
Signature.18,0.0,0.0
Signature.19,0.236748808712,0.0
Signature.20,0.027458523971,0.0
Signature.21,0.0,0.014770186506
Signature.22,0.0,0.0
Signature.23,0.181791845692,0.0
Signature.24,0.0885539574273,0.0705042700168
Signature.25,0.0,0.364446280228
Signature.26,0.0,0.0
Signature.27,0.101504640127,0.0272885859771
Signature.28,0.0,0.0
Signature.29,0.0610735688381,0.0564388984838
Signature.30,0.015833946243,0.0173035475359
