,1:3:2
Signature.1,0.0
Signature.2,0.129970426816
Signature.3,0.0
Signature.4,0.220425004555
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0768519375344
Signature.8,0.0324024207995
Signature.9,0.0
Signature.10,0.0661796875213
Signature.11,0.0
Signature.12,0.042161439206
Signature.13,0.0
Signature.14,0.0187238852802
Signature.15,0.0
Signature.16,0.0
Signature.17,0.151967298009
Signature.18,0.0464423003143
Signature.19,0.0
Signature.20,0.0
Signature.21,0.179514830916
Signature.22,0.0155718012022
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.019788967846
Signature.29,0.0
Signature.30,0.0
