,11,10:1:3:2:5:4:7:6:9:8
Signature.1,0.0187017699378,0.0
Signature.2,0.378494544429,0.0261070091248
Signature.3,0.252505827028,0.0
Signature.4,0.0,0.0240880583849
Signature.5,0.0169211632392,0.0
Signature.6,0.0,0.0341059969461
Signature.7,0.0,0.327444188184
Signature.8,0.0527077691352,0.0324322861331
Signature.9,0.0,0.0
Signature.10,0.0109965147772,0.0
Signature.11,0.0169095637529,0.0
Signature.12,0.0605604031121,0.0
Signature.13,0.0,0.0190178667749
Signature.14,0.0,0.0171557567571
Signature.15,0.0159975571842,0.150479718706
Signature.16,0.0,0.0
Signature.17,0.0,0.0168102609046
Signature.18,0.0,0.0
Signature.19,0.0,0.0
Signature.20,0.0,0.0783212310159
Signature.21,0.0,0.0
Signature.22,0.0480407148554,0.0798208376083
Signature.23,0.0,0.0
Signature.24,0.0,0.0
Signature.25,0.0219844448079,0.123982383235
Signature.26,0.0728650984074,0.0131388883014
Signature.27,0.0,0.0
Signature.28,0.0,0.0570955179243
Signature.29,0.0,0.0
Signature.30,0.0333146293326,0.0
