,11:9:10,1:3:2:5:4:7:6,8
Signature.1,0.072444277588,0.0,0.0
Signature.2,0.102973831536,0.0,0.0
Signature.3,0.0,0.0198870966393,0.019320066406
Signature.4,0.130033921445,0.0,0.0516952522425
Signature.5,0.0,0.0,0.0
Signature.6,0.0619037486518,0.0,0.0
Signature.7,0.0,0.0848639212129,0.0
Signature.8,0.0,0.0,0.0975794311492
Signature.9,0.0,0.0,0.0695156313795
Signature.10,0.0,0.200441740886,0.0
Signature.11,0.0497047243388,0.0706046621777,0.0
Signature.12,0.0,0.0995855834787,0.0
Signature.13,0.108840222434,0.0,0.0
Signature.14,0.013541457118,0.0,0.0
Signature.15,0.0,0.096765879174,0.0
Signature.16,0.0471704473545,0.0236303189566,0.0
Signature.17,0.0,0.0134518440759,0.0
Signature.18,0.0,0.0208336390936,0.0521367098537
Signature.19,0.0524413596417,0.0459868402225,0.0
Signature.20,0.0366463256866,0.0342736972034,0.0
Signature.21,0.0,0.0,0.366162541661
Signature.22,0.0173543139854,0.0132838307736,0.0
Signature.23,0.232743968854,0.0,0.0662461945578
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.0,0.0264415565568
Signature.26,0.0,0.0,0.0
Signature.27,0.014073297873,0.0,0.0
Signature.28,0.0,0.120731840777,0.0138302953042
Signature.29,0.0601281034928,0.140997770599,0.141272394706
Signature.30,0.0,0.0146613347299,0.0957999261837
