,11,9:10:8,1:3:2:5:7:6,4
Signature.1,0.0,0.0599475749252,0.0,0.0
Signature.2,0.0469798145235,0.0,0.0,0.0747418406498
Signature.3,0.0657628717794,0.0,0.0,0.0
Signature.4,0.0129078614365,0.0,0.0,0.273806043259
Signature.5,0.0,0.0185327109512,0.0,0.0
Signature.6,0.0,0.0,0.0986109614729,0.0
Signature.7,0.0,0.0996658777546,0.074693093325,0.0244971062615
Signature.8,0.0,0.0165807472424,0.0,0.0
Signature.9,0.0,0.0221146343242,0.0510206931629,0.100625171105
Signature.10,0.0,0.0158234294246,0.0,0.175533225769
Signature.11,0.0,0.0,0.076035027415,0.0190338241516
Signature.12,0.014087894563,0.0249359430238,0.0262692510858,0.0467153028122
Signature.13,0.0,0.0,0.196669713137,0.0
Signature.14,0.0,0.0393504133636,0.0303789054829,0.0
Signature.15,0.069895971879,0.0,0.0429472022242,0.109365463373
Signature.16,0.304469825208,0.0133239657553,0.0,0.0
Signature.17,0.293831011763,0.0447528077581,0.145601360478,0.0
Signature.18,0.104419197,0.0,0.0,0.0
Signature.19,0.0701408151636,0.102647492121,0.0,0.0
Signature.20,0.0,0.0,0.0868238066291,0.0
Signature.21,0.0,0.0,0.0,0.053286000382
Signature.22,0.0,0.0410193876536,0.0,0.0336996271071
Signature.23,0.0,0.444443120435,0.0,0.0
Signature.24,0.0,0.0,0.0,0.0
Signature.25,0.0,0.0,0.0553132323411,0.0295572516212
Signature.26,0.0,0.0,0.0205524822014,0.0
Signature.27,0.0,0.0153384162404,0.0485156053135,0.0
Signature.28,0.0,0.0,0.0315838872884,0.0191217009983
Signature.29,0.0,0.0415234790271,0.0149847784422,0.0400174425105
Signature.30,0.0175047366834,0.0,0.0,0.0
