,11:10:1:2:5:7:6:9:8,3:4
Signature.1,0.0168460638901,0.0
Signature.2,0.0372929184236,0.0156580935239
Signature.3,0.194405206241,0.0626296082037
Signature.4,0.0,0.121177835052
Signature.5,0.0,0.175105263512
Signature.6,0.0,0.0
Signature.7,0.0130540098828,0.0
Signature.8,0.0825728533481,0.0
Signature.9,0.0,0.0
Signature.10,0.0152069257783,0.0
Signature.11,0.0335420970289,0.0
Signature.12,0.0,0.0
Signature.13,0.0,0.0
Signature.14,0.0294851192356,0.0548907832651
Signature.15,0.195705035045,0.0
Signature.16,0.0444348117028,0.0177249397819
Signature.17,0.0129133820197,0.0
Signature.18,0.100519625572,0.0608658937815
Signature.19,0.0,0.107787953834
Signature.20,0.0999561002992,0.0170832322621
Signature.21,0.0,0.0
Signature.22,0.0613832277608,0.0
Signature.23,0.0,0.0290725718388
Signature.24,0.0,0.0
Signature.25,0.0,0.020999127747
Signature.26,0.0,0.0315613706608
Signature.27,0.0,0.0
Signature.28,0.0,0.257738237324
Signature.29,0.0,0.0277050892123
Signature.30,0.0626826237726,0.0
