,11:10:13:12:1:3:2:5:4:7:6:9:8
Signature.1,0.0738394975079
Signature.2,0.0
Signature.3,0.0107297075797
Signature.4,0.298062767603
Signature.5,0.0
Signature.6,0.0133346467466
Signature.7,0.0
Signature.8,0.0324241917152
Signature.9,0.0
Signature.10,0.0119896238204
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0668577963296
Signature.14,0.0
Signature.15,0.035044740685
Signature.16,0.0
Signature.17,0.0113511665909
Signature.18,0.0954213260991
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0771801046786
Signature.22,0.0146529117237
Signature.23,0.102915443412
Signature.24,0.0
Signature.25,0.104044237824
Signature.26,0.0
Signature.27,0.0192557712374
Signature.28,0.0328960664465
Signature.29,0.0
Signature.30,0.0
