,11:10:13:12:1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.0140390799112
Signature.3,0.0343137325695
Signature.4,0.497258290868
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0942099933425
Signature.8,0.0756263124259
Signature.9,0.0188755162817
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0220057749418
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0184193450957
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0646428701208
Signature.21,0.0
Signature.22,0.0346462477609
Signature.23,0.0329103242377
Signature.24,0.0118744527137
Signature.25,0.0
Signature.26,0.0811780597304
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0
