,11:10,1:3:2:5:4:7:6:9,8
Signature.1,0.0,0.0,0.0
Signature.2,0.0,0.0,0.0
Signature.3,0.0,0.0,0.113919599923
Signature.4,0.0,0.0,0.0
Signature.5,0.0,0.0790002756145,0.0170710855797
Signature.6,0.0,0.0,0.0
Signature.7,0.0,0.0,0.0399011300049
Signature.8,0.0239490807588,0.0,0.168086615365
Signature.9,0.0,0.0,0.0
Signature.10,0.0339772518839,0.0,0.0256666680612
Signature.11,0.0,0.0,0.0
Signature.12,0.0893730542733,0.0,0.0565712719129
Signature.13,0.0191357091053,0.14335519651,0.0220462131785
Signature.14,0.0169320759743,0.0,0.0
Signature.15,0.0,0.164658399902,0.0124589929399
Signature.16,0.0,0.0430887084067,0.0
Signature.17,0.0,0.0152034040492,0.0436094594103
Signature.18,0.0,0.0119855510088,0.0
Signature.19,0.0664563255131,0.0,0.0413725530579
Signature.20,0.23597900018,0.0,0.0995475906017
Signature.21,0.112143881203,0.0,0.0
Signature.22,0.0116274412198,0.0,0.159978777627
Signature.23,0.0216103762308,0.010450057359,0.100271047102
Signature.24,0.0,0.120585926989,0.0
Signature.25,0.0,0.257922281145,0.0
Signature.26,0.283049753276,0.0,0.0
Signature.27,0.0691411690144,0.0,0.0
Signature.28,0.0166248813675,0.0726909026609,0.0772182949198
Signature.29,0.0,0.025246482095,0.022280700315
Signature.30,0.0,0.0558128142607,0.0
