,11:10:12:7:6:9:8,13,1:3:2:5:4
Signature.1,0.0264642815391,0.0,0.0600518287661
Signature.2,0.0,0.0,0.183212696855
Signature.3,0.0,0.0,0.0
Signature.4,0.0,0.0,0.0
Signature.5,0.0287338055351,0.0136314773937,0.0
Signature.6,0.0,0.0263218141726,0.0
Signature.7,0.164061166205,0.0,0.0199992101721
Signature.8,0.0,0.0565692286071,0.0212631105728
Signature.9,0.0210520820573,0.0,0.0991882996243
Signature.10,0.0220098332515,0.222047463816,0.0
Signature.11,0.0,0.0,0.0694498709829
Signature.12,0.0525258624564,0.0,0.0257778180831
Signature.13,0.0244309346714,0.0662261739425,0.0129866561143
Signature.14,0.138685628311,0.0574032189038,0.0
Signature.15,0.0,0.0,0.0432485146707
Signature.16,0.0,0.0,0.0363772289982
Signature.17,0.0,0.0,0.0405004732039
Signature.18,0.0,0.0134230406779,0.0
Signature.19,0.0227843072448,0.0267139283686,0.0
Signature.20,0.0534882055248,0.0606068836311,0.0
Signature.21,0.0973852167238,0.0118353404572,0.0
Signature.22,0.138722011107,0.011241260547,0.0
Signature.23,0.019081457624,0.0,0.0281705867548
Signature.24,0.0375013556248,0.0251489988134,0.0562731314344
Signature.25,0.0109887587126,0.0733107151912,0.0
Signature.26,0.0391327886333,0.0,0.0124151771581
Signature.27,0.0,0.0713683220255,0.152505844391
Signature.28,0.0532690027864,0.0,0.0654367861888
Signature.29,0.0,0.264152133452,0.0
Signature.30,0.0496833019928,0.0,0.0731427660301
