,11:10:13:12:9:8,1:3:2:5:4,7:6
Signature.1,0.0,0.0209232340169,0.0
Signature.2,0.123684718674,0.0,0.0642568257198
Signature.3,0.0323246302781,0.0327444224627,0.0307011424304
Signature.4,0.0,0.0,0.11363267193
Signature.5,0.0224444474429,0.0387174078281,0.0368778415973
Signature.6,0.0,0.144787820636,0.0
Signature.7,0.0,0.0,0.0
Signature.8,0.0115582331738,0.140813133018,0.27003827409
Signature.9,0.0157525636513,0.0622892590843,0.0
Signature.10,0.105519126495,0.338417320805,0.0655192591792
Signature.11,0.0,0.0,0.0
Signature.12,0.0,0.0174707703392,0.0735241868456
Signature.13,0.0117288326613,0.123668485054,0.0266137925752
Signature.14,0.0,0.0,0.0
Signature.15,0.0,0.0,0.0
Signature.16,0.0305151951334,0.0,0.0248674480064
Signature.17,0.013590239321,0.0,0.0
Signature.18,0.0,0.0,0.0
Signature.19,0.0,0.0306626348191,0.0
Signature.20,0.0,0.0,0.0
Signature.21,0.0,0.0,0.0
Signature.22,0.0,0.0123278816764,0.0
Signature.23,0.0,0.0,0.0
Signature.24,0.162947686479,0.0,0.0959983332332
Signature.25,0.313596931819,0.0,0.124730994103
Signature.26,0.0,0.0,0.0
Signature.27,0.0451930348176,0.0,0.0
Signature.28,0.0634421356709,0.0,0.0732392302889
Signature.29,0.0,0.0,0.0
Signature.30,0.0477022243823,0.0371776302599,0.0
