,11:10:1:2:4:7:9:8,3,5,6
Signature.1,0.237386668739,0.0,0.0,0.0351636281512
Signature.2,0.0255662049266,0.0,0.0,0.125551168736
Signature.3,0.0138861235061,0.01501363459,0.0,0.0889215278921
Signature.4,0.0,0.0,0.0,0.0
Signature.5,0.048401282735,0.0,0.0,0.0
Signature.6,0.102693169289,0.0143379889507,0.0,0.0120276940333
Signature.7,0.112802772718,0.0,0.0359728349313,0.0
Signature.8,0.0,0.0150880458354,0.0,0.0
Signature.9,0.0123310257349,0.0475941826886,0.0159188418909,0.0
Signature.10,0.0,0.0637077044299,0.107505937025,0.197031871703
Signature.11,0.0315460612164,0.0,0.0,0.0725246906757
Signature.12,0.0,0.232694362636,0.0165716986921,0.0
Signature.13,0.0,0.149273500989,0.0,0.0
Signature.14,0.0148839760171,0.0,0.21163644693,0.0
Signature.15,0.106168769805,0.0,0.0,0.0648161248094
Signature.16,0.0,0.0,0.281819351645,0.034157033003
Signature.17,0.0,0.0,0.028867191477,0.0179424859933
Signature.18,0.117435869883,0.0475359660468,0.0,0.0
Signature.19,0.0,0.0230013534856,0.0,0.04587336003
Signature.20,0.0840010252939,0.0,0.0,0.0
Signature.21,0.0,0.0851630260232,0.0125327918567,0.0353892962149
Signature.22,0.0240977614225,0.014214682993,0.0814004467127,0.0
Signature.23,0.0157706531591,0.185500334761,0.0,0.128001432859
Signature.24,0.0,0.0,0.0,0.0
Signature.25,0.0530286355545,0.0298925447847,0.0,0.0
Signature.26,0.0,0.0,0.0,0.0
Signature.27,0.0,0.0250344737593,0.207774458839,0.0246439758706
Signature.28,0.0,0.0,0.0,0.0
Signature.29,0.0,0.0387460133785,0.0,0.0
Signature.30,0.0,0.0132021846478,0.0,0.117955710028
