,11:10:1:3:2:5:4:9:8,7:6
Signature.1,0.0426976479935,0.0229954366433
Signature.2,0.0,0.0
Signature.3,0.0,0.0
Signature.4,0.0,0.104061365521
Signature.5,0.0,0.162839562246
Signature.6,0.0215868953884,0.0
Signature.7,0.0,0.0124670847011
Signature.8,0.0,0.0
Signature.9,0.087166113748,0.0
Signature.10,0.0,0.0
Signature.11,0.0,0.0
Signature.12,0.0119819840322,0.0
Signature.13,0.0,0.0
Signature.14,0.0,0.0
Signature.15,0.0207786229153,0.0
Signature.16,0.15806007837,0.0
Signature.17,0.0,0.0160457369333
Signature.18,0.0,0.0
Signature.19,0.0375758904836,0.17764681061
Signature.20,0.0,0.0
Signature.21,0.318904451712,0.0
Signature.22,0.0,0.0
Signature.23,0.0647883293654,0.0
Signature.24,0.0210319822263,0.393628026292
Signature.25,0.0,0.0
Signature.26,0.106492974448,0.014380539162
Signature.27,0.0871502809658,0.0547101769672
Signature.28,0.0110355986927,0.0156636410533
Signature.29,0.0107491496592,0.0
Signature.30,0.0,0.0255616198693
