,11,10:5:7:6:9:8,1:2,3:4
Signature.1,0.0171020824534,0.0999131017475,0.25862499686,0.0
Signature.2,0.015815194767,0.0444689795698,0.0,0.0
Signature.3,0.282832885183,0.0,0.0344594322999,0.0
Signature.4,0.0,0.0,0.0,0.133572252037
Signature.5,0.101657667094,0.0,0.0,0.0
Signature.6,0.0,0.0,0.0152304663949,0.0
Signature.7,0.0,0.0,0.0,0.0
Signature.8,0.0913986996118,0.0469101968618,0.0,0.0
Signature.9,0.0179882751495,0.0,0.0634019411034,0.0
Signature.10,0.0764271052938,0.0,0.0,0.0158592649675
Signature.11,0.0895492623756,0.0254407577532,0.0,0.0
Signature.12,0.0,0.0,0.0154776161217,0.0
Signature.13,0.0,0.0707138200976,0.0,0.111920030439
Signature.14,0.093234448169,0.166130320567,0.0192710279476,0.0657974073719
Signature.15,0.0279506516882,0.0,0.021336761764,0.0
Signature.16,0.0,0.0412064912673,0.100593338773,0.0
Signature.17,0.0,0.0,0.0,0.0
Signature.18,0.0,0.0,0.0368225690616,0.0
Signature.19,0.0,0.0,0.0,0.0352459828673
Signature.20,0.120628648252,0.0832388816182,0.0,0.0254273982099
Signature.21,0.0,0.256709263139,0.0237082726814,0.0200646202587
Signature.22,0.0,0.0,0.0,0.535639185156
Signature.23,0.0367923970387,0.0,0.0,0.0
Signature.24,0.0,0.0,0.0,0.0252511660932
Signature.25,0.0,0.0557815583937,0.0,0.0
Signature.26,0.0,0.0,0.0,0.0
Signature.27,0.028622682923,0.0313240116545,0.14282890088,0.011986792521
Signature.28,0.0,0.0781626173306,0.268244676113,0.0
Signature.29,0.0,0.0,0.0,0.0192359000785
Signature.30,0.0,0.0,0.0,0.0
