,11,10:1:3:2:5:4:6:9,8:7
Signature.1,0.0,0.0,0.0
Signature.2,0.0,0.0,0.0
Signature.3,0.185053513174,0.032612142586,0.0
Signature.4,0.0667862872403,0.0,0.0
Signature.5,0.174866395466,0.0,0.0266187571815
Signature.6,0.0,0.0,0.0
Signature.7,0.0,0.315732409179,0.0124522806829
Signature.8,0.0,0.0,0.367844726719
Signature.9,0.0,0.0386895361366,0.0
Signature.10,0.0,0.0,0.0
Signature.11,0.0,0.0902711433958,0.0
Signature.12,0.0,0.014916674973,0.0
Signature.13,0.0511849692752,0.011833149202,0.0
Signature.14,0.0,0.0510251049144,0.0906331876386
Signature.15,0.0729554139661,0.012226070213,0.0589148051278
Signature.16,0.0,0.0146545417438,0.0
Signature.17,0.0,0.0,0.154159665018
Signature.18,0.0169678275455,0.108249828906,0.0480797700532
Signature.19,0.0805788459453,0.0,0.0
Signature.20,0.0,0.0,0.203440861652
Signature.21,0.0143728951758,0.0219575823903,0.0
Signature.22,0.0,0.0102403919992,0.0
Signature.23,0.196166361256,0.0,0.0
Signature.24,0.0,0.0549818277554,0.0
Signature.25,0.0,0.0,0.0123722892914
Signature.26,0.0,0.194621823738,0.0138809492267
Signature.27,0.0,0.0,0.0
Signature.28,0.0,0.027987772867,0.0116027074091
Signature.29,0.141067490956,0.0,0.0
Signature.30,0.0,0.0,0.0
