,11:10:12:1:3:2:9:8,13,5:4,7:6
Signature.1,0.0,0.0523029530477,0.0,0.0
Signature.2,0.0,0.0,0.0,0.0
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0,0.0730240369002,0.0,0.0
Signature.5,0.0,0.0,0.131199702986,0.0
Signature.6,0.0,0.0,0.0,0.0
Signature.7,0.0,0.0,0.0258591118738,0.0
Signature.8,0.0,0.0694287740872,0.0,0.0
Signature.9,0.0,0.167860299318,0.0,0.0
Signature.10,0.0,0.0978287864014,0.0,0.0592368054598
Signature.11,0.015205823825,0.0,0.0155999457747,0.0
Signature.12,0.0,0.0,0.0235422264043,0.0
Signature.13,0.0183949374095,0.0,0.0340566074795,0.0
Signature.14,0.0204299226841,0.0199607591219,0.0128278420086,0.0353571635621
Signature.15,0.0261080049605,0.0103522712744,0.0921169072962,0.0266919922929
Signature.16,0.0189100402755,0.0,0.0582536062014,0.0136007485775
Signature.17,0.0,0.0,0.0,0.161881725262
Signature.18,0.0,0.0,0.111369080899,0.0513075965698
Signature.19,0.0,0.158733758793,0.198249701809,0.0
Signature.20,0.033320948412,0.0860294106148,0.0752654780698,0.0
Signature.21,0.0188846939333,0.0211917682772,0.0,0.0
Signature.22,0.169069571505,0.0232422024081,0.0392071284999,0.0
Signature.23,0.0,0.198653487542,0.0537262975013,0.0
Signature.24,0.190579316354,0.0,0.0,0.0
Signature.25,0.0,0.0,0.0609764460806,0.073825326264
Signature.26,0.0359778265573,0.0,0.0,0.0202563230007
Signature.27,0.0,0.0,0.0410878662777,0.0
Signature.28,0.0636351796275,0.0213914922143,0.0,0.0
Signature.29,0.389483734455,0.0,0.0266620508383,0.0377746167608
Signature.30,0.0,0.0,0.0,0.52006770225
