,11:13:1:3:2:5:4:7:6:9:8,10,12
Signature.1,0.0189529865787,0.161915331991,0.0
Signature.2,0.0,0.108526765502,0.0
Signature.3,0.0,0.0,0.0135702764438
Signature.4,0.0,0.0354741197262,0.0106828297357
Signature.5,0.0129249651774,0.0261602203405,0.348382955815
Signature.6,0.0,0.0,0.0
Signature.7,0.0,0.0,0.0139223146465
Signature.8,0.0,0.0,0.0
Signature.9,0.103559986165,0.0,0.0
Signature.10,0.0310047214768,0.110259415208,0.0
Signature.11,0.0,0.0,0.0
Signature.12,0.0,0.0,0.0171918922753
Signature.13,0.0,0.0186561693625,0.0
Signature.14,0.0,0.0718542193915,0.0
Signature.15,0.047471742431,0.202431372297,0.0571212981543
Signature.16,0.10109422668,0.0,0.0
Signature.17,0.0,0.0294691184432,0.0207520980038
Signature.18,0.258871454278,0.034125833938,0.028136087581
Signature.19,0.0,0.0,0.0
Signature.20,0.199865693348,0.0166069916506,0.394245454131
Signature.21,0.0,0.17080384794,0.0
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0233310997314
Signature.24,0.120813810735,0.013716594209,0.0
Signature.25,0.0,0.0,0.0368814231278
Signature.26,0.0,0.0,0.0
Signature.27,0.0177366594083,0.0,0.0255380454124
Signature.28,0.0,0.0,0.0
Signature.29,0.0599322421474,0.0,0.0102442249414
Signature.30,0.0277715115733,0.0,0.0
