,11:10:13:12:1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.0278823025589
Signature.3,0.403660908929
Signature.4,0.0
Signature.5,0.012106774714
Signature.6,0.0129764020464
Signature.7,0.0309824570204
Signature.8,0.151505277538
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0294499707083
Signature.12,0.0
Signature.13,0.0326303821844
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0195456998415
Signature.21,0.0
Signature.22,0.0284560179125
Signature.23,0.0
Signature.24,0.0706320686606
Signature.25,0.0
Signature.26,0.0569806986801
Signature.27,0.123191039205
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0
