,11:10:1:3:2:5:4:7:6:8,9
Signature.1,0.0,0.0
Signature.2,0.0,0.0196435226857
Signature.3,0.0910068846839,0.0223741305676
Signature.4,0.0,0.0258686111316
Signature.5,0.0,0.0
Signature.6,0.0,0.0
Signature.7,0.205394269551,0.0107206957659
Signature.8,0.0,0.152956857962
Signature.9,0.0,0.0
Signature.10,0.0,0.0156066736896
Signature.11,0.0,0.0385399473675
Signature.12,0.0,0.0810475402173
Signature.13,0.0,0.167022812087
Signature.14,0.0145881828353,0.225510745518
Signature.15,0.0268368891112,0.0
Signature.16,0.0924763708218,0.0596519335539
Signature.17,0.0752087726407,0.0
Signature.18,0.0665034289692,0.122046432073
Signature.19,0.0,0.0402397348887
Signature.20,0.0487183169444,0.0
Signature.21,0.197907840251,0.0
Signature.22,0.0678497080682,0.0
Signature.23,0.0,0.0
Signature.24,0.0,0.0
Signature.25,0.0,0.0
Signature.26,0.0,0.0
Signature.27,0.0963481587214,0.0187703624929
Signature.28,0.0171611774017,0.0
Signature.29,0.0,0.0
Signature.30,0.0,0.0
