,11,9:10:6:5:8,1:3:2:4,7
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.0,0.0,0.0,0.0237978100015
Signature.3,0.0,0.0357173746895,0.0,0.0
Signature.4,0.0,0.0,0.0,0.0485134349143
Signature.5,0.0134913586749,0.0355846157346,0.0,0.0
Signature.6,0.0,0.0,0.0,0.112723433372
Signature.7,0.0,0.230064194861,0.0,0.0
Signature.8,0.0,0.0,0.0,0.0
Signature.9,0.0334630853984,0.249876474644,0.0,0.0265634373736
Signature.10,0.0200989194795,0.0297066357,0.0105304258811,0.0
Signature.11,0.0,0.0,0.296173087598,0.0
Signature.12,0.0,0.149569780746,0.0,0.0416329011024
Signature.13,0.0,0.0228179530253,0.0671567634987,0.0
Signature.14,0.0358894128217,0.0,0.0148308101882,0.0
Signature.15,0.0253743505122,0.0,0.0,0.0
Signature.16,0.0205484749879,0.0,0.0,0.0
Signature.17,0.0,0.0,0.0106970221132,0.0
Signature.18,0.0,0.0,0.0316194389634,0.0141306337024
Signature.19,0.0,0.0,0.0364281778374,0.299540144693
Signature.20,0.213061261028,0.017381487557,0.230028766968,0.0198042026914
Signature.21,0.0242784660691,0.0,0.0266876995683,0.0
Signature.22,0.148779281425,0.0153944934679,0.0,0.0823242027224
Signature.23,0.0,0.152710435776,0.0122250724905,0.16841399747
Signature.24,0.374447252604,0.0,0.0148070559467,0.073448447106
Signature.25,0.0,0.0,0.104216113239,0.0
Signature.26,0.0,0.0,0.0,0.0891073548514
Signature.27,0.0,0.0,0.0277640516803,0.0
Signature.28,0.0,0.0216123463089,0.0,0.0
Signature.29,0.0787824182222,0.0,0.0,0.0
Signature.30,0.0117857187765,0.0395642074899,0.116835514027,0.0
