,11,10,1:3:2:5:4:7:6:9:8
Signature.1,0.0,0.067576079813,0.0684560393143
Signature.2,0.0629269772983,0.0,0.0586647922794
Signature.3,0.0,0.0,0.0
Signature.4,0.0,0.148735561555,0.0
Signature.5,0.0,0.0,0.0
Signature.6,0.0,0.196762274713,0.0
Signature.7,0.0741303437209,0.0,0.0
Signature.8,0.0,0.0,0.0
Signature.9,0.0248164777532,0.0,0.0906482133433
Signature.10,0.0575188747608,0.0177817577109,0.0141558965569
Signature.11,0.0,0.0,0.0
Signature.12,0.0,0.0295364261986,0.0395336391987
Signature.13,0.0217646821492,0.0403762463697,0.255008325526
Signature.14,0.097464540908,0.0133582995003,0.0270490124669
Signature.15,0.0426157776623,0.0,0.0
Signature.16,0.140995972466,0.0,0.0803971445599
Signature.17,0.144046267937,0.0,0.0
Signature.18,0.0277024009046,0.0,0.0
Signature.19,0.0,0.0,0.0470377063179
Signature.20,0.0,0.0,0.0
Signature.21,0.117390434706,0.333730314014,0.0
Signature.22,0.044056573762,0.0,0.0586088577233
Signature.23,0.0,0.0,0.0
Signature.24,0.0,0.0116270906062,0.0
Signature.25,0.0492303287719,0.0,0.0174177588135
Signature.26,0.0470584731471,0.0,0.0
Signature.27,0.0,0.0550893621996,0.2430226139
Signature.28,0.0,0.0,0.0
Signature.29,0.0482818740517,0.0854265873199,0.0
Signature.30,0.0,0.0,0.0
