,11,9:10:8,13:12:1:3:2:5:4:7,6
Signature.1,0.0147174735143,0.202155265207,0.0,0.0
Signature.2,0.0,0.0586498617664,0.0,0.0265626264949
Signature.3,0.0463989495832,0.117536044832,0.0795678789669,0.0160757773148
Signature.4,0.0,0.0539415687108,0.0110215243763,0.113570605918
Signature.5,0.0126396760938,0.0,0.0219115530676,0.0154749825489
Signature.6,0.254129738195,0.0,0.0,0.0
Signature.7,0.0,0.0,0.0,0.0
Signature.8,0.102750000813,0.0,0.0,0.156098693643
Signature.9,0.0,0.120451725538,0.233721972831,0.0277092633913
Signature.10,0.0,0.0171625132351,0.0319189453308,0.0
Signature.11,0.0,0.0,0.0,0.0
Signature.12,0.207120641242,0.0392624044619,0.0,0.0
Signature.13,0.0140078696261,0.0877371606313,0.0157326878286,0.0361844893176
Signature.14,0.0,0.0,0.0,0.0
Signature.15,0.0,0.0,0.0366856347413,0.0
Signature.16,0.0,0.0,0.0,0.0862803455785
Signature.17,0.0,0.0206619283531,0.0483553619961,0.0
Signature.18,0.0,0.0,0.0323475948362,0.0
Signature.19,0.0,0.0,0.169032572051,0.0
Signature.20,0.0383658211969,0.0228850880637,0.0,0.0
Signature.21,0.0242830309253,0.0,0.0,0.11477553347
Signature.22,0.0133775412815,0.0,0.156973985041,0.0
Signature.23,0.0,0.0,0.0251043570979,0.0871242243869
Signature.24,0.0,0.0117296123762,0.0431158739154,0.262463378983
Signature.25,0.0429469500783,0.214805962023,0.0646026043169,0.0226913989536
Signature.26,0.0514365070317,0.0,0.0,0.0134740873656
Signature.27,0.0,0.0,0.0,0.0215145926338
Signature.28,0.0,0.0108055324069,0.0,0.0
Signature.29,0.114337125978,0.0,0.0299074536025,0.0
Signature.30,0.0634886744407,0.0222153323952,0.0,0.0
