,11,10:3:5:4:7:6:9:8,1:2
Signature.1,0.0204519637952,0.0740072841806,0.135784578924
Signature.2,0.0,0.0,0.0
Signature.3,0.0,0.116973131871,0.0
Signature.4,0.12953439692,0.0,0.0481198357383
Signature.5,0.0,0.0,0.0
Signature.6,0.293839005664,0.0,0.170376411565
Signature.7,0.0,0.0389177537734,0.0593402139558
Signature.8,0.0,0.0270124035816,0.0242180658607
Signature.9,0.0170309490722,0.0222989090076,0.0292435985099
Signature.10,0.0201850590301,0.0344323320826,0.0
Signature.11,0.0,0.13506372957,0.0
Signature.12,0.0,0.0164780362436,0.0569518375143
Signature.13,0.0,0.0,0.0774893592492
Signature.14,0.0,0.0346735531318,0.0
Signature.15,0.143431187263,0.0,0.0
Signature.16,0.0,0.0613320779247,0.0172901823638
Signature.17,0.0,0.0319076179785,0.0
Signature.18,0.0,0.0230045510561,0.0376104494612
Signature.19,0.0845478310418,0.0,0.0
Signature.20,0.0,0.185888395555,0.0
Signature.21,0.0530555871444,0.0,0.0
Signature.22,0.0,0.0250776986709,0.0242694401688
Signature.23,0.0,0.0,0.0102647259214
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.116345798783,0.0124871176932
Signature.26,0.154412274959,0.0362317779295,0.0
Signature.27,0.0264669948801,0.0,0.0
Signature.28,0.0,0.0,0.0340000092874
Signature.29,0.0,0.0203549486601,0.0
Signature.30,0.05704475023,0.0,0.262554173787
