,11:10:1:3:4:8,2,5:7:6,9
Signature.1,0.0366567877612,0.0657877373982,0.0,0.0
Signature.2,0.0,0.0188956609405,0.0,0.0182578695956
Signature.3,0.119127823551,0.06927830875,0.146469085289,0.0123449723779
Signature.4,0.0,0.0,0.0,0.0
Signature.5,0.0370835378636,0.0,0.0,0.0
Signature.6,0.0,0.10347272632,0.0,0.0266977691424
Signature.7,0.0,0.0,0.0280999715214,0.0
Signature.8,0.0,0.0,0.0,0.0
Signature.9,0.0751896765275,0.0,0.0,0.163197657195
Signature.10,0.0,0.0646379424462,0.0,0.0710496590653
Signature.11,0.0207910996529,0.0,0.0,0.0
Signature.12,0.0,0.0176175826558,0.26188505739,0.148959120868
Signature.13,0.0170610720738,0.0,0.10447925822,0.0176149513538
Signature.14,0.0,0.0,0.0168066410422,0.0409437942427
Signature.15,0.0,0.247561936972,0.145161713217,0.0312155273016
Signature.16,0.0,0.0,0.0,0.0495378529094
Signature.17,0.0,0.0,0.0,0.0161507306809
Signature.18,0.0975998435096,0.0,0.0263932886173,0.0
Signature.19,0.0817006764144,0.0,0.0,0.0443892137503
Signature.20,0.161635156824,0.121092921347,0.0131383299727,0.0142977260222
Signature.21,0.0,0.0377641981206,0.0,0.0
Signature.22,0.0234839881375,0.0,0.0,0.0
Signature.23,0.0,0.0969688892449,0.0878174029225,0.0
Signature.24,0.0,0.0861601804527,0.0356454737601,0.0
Signature.25,0.0969605269685,0.0,0.0449293797425,0.0334634154107
Signature.26,0.0541735634825,0.0,0.0,0.0
Signature.27,0.0,0.0335305401781,0.0,0.0357576707031
Signature.28,0.0,0.0146802826667,0.0350120720106,0.24043727383
Signature.29,0.0478126700188,0.0,0.0,0.0356847955516
Signature.30,0.130723577215,0.0225510925074,0.0541623262945,0.0
