,11:10:13:12:1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.0505883565108
Signature.3,0.012151667765
Signature.4,0.0
Signature.5,0.0190233252512
Signature.6,0.0432129895582
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0220630169036
Signature.10,0.0
Signature.11,0.362652356012
Signature.12,0.0209847764766
Signature.13,0.0105453605101
Signature.14,0.0276557926691
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.132385926506
Signature.21,0.0175348303219
Signature.22,0.0825948452968
Signature.23,0.0319060352263
Signature.24,0.0
Signature.25,0.0
Signature.26,0.022966557762
Signature.27,0.130333114922
Signature.28,0.0
Signature.29,0.0134010483082
Signature.30,0.0
