,11:10:1:2:5:4:7:6:8,3,9
Signature.1,0.176819528947,0.0,0.0
Signature.2,0.0,0.0267683278306,0.0
Signature.3,0.0388450435123,0.0258845950743,0.0118611542011
Signature.4,0.0,0.0,0.196203959521
Signature.5,0.0,0.0,0.0
Signature.6,0.0129352159772,0.0963970699327,0.0
Signature.7,0.0735553558167,0.0,0.0
Signature.8,0.0226281780303,0.0,0.0244780716881
Signature.9,0.10802892671,0.0,0.0
Signature.10,0.0,0.0,0.0917233432955
Signature.11,0.119088783907,0.0134828312957,0.0
Signature.12,0.0138185713999,0.147196654609,0.0
Signature.13,0.0475208790736,0.0,0.0175854934691
Signature.14,0.0,0.0,0.0203473279833
Signature.15,0.0,0.108820323864,0.0
Signature.16,0.0122571281323,0.0,0.0
Signature.17,0.0270995095627,0.0,0.0130494178468
Signature.18,0.165524170363,0.0,0.0738990377494
Signature.19,0.0,0.239897635659,0.136984962172
Signature.20,0.104166554536,0.0,0.0
Signature.21,0.0,0.0,0.0667429985652
Signature.22,0.0,0.0,0.0
Signature.23,0.0232118909616,0.0,0.0
Signature.24,0.0,0.0112071320956,0.0448517628229
Signature.25,0.0,0.119837255983,0.0142874373833
Signature.26,0.0,0.0,0.0
Signature.27,0.0,0.15191763405,0.0
Signature.28,0.0545002630711,0.0,0.0
Signature.29,0.0,0.0585905396061,0.157383075487
Signature.30,0.0,0.0,0.130601957815
