,11:10:1:3:2:5:4:7:6:9:8
Signature.1,0.0461552939104
Signature.2,0.0304881520199
Signature.3,0.0
Signature.4,0.037619537805
Signature.5,0.0
Signature.6,0.220221864676
Signature.7,0.0107402857755
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.244387130826
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0292777543146
Signature.15,0.0135552159325
Signature.16,0.164694677778
Signature.17,0.150119304258
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0190681063666
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0336726763381
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0
