,11:10,13:12:5:4:6:9:8,1:3:2,7
Signature.1,0.0400068639703,0.0,0.122410740599,0.0
Signature.2,0.0,0.0,0.047756752484,0.0135684214293
Signature.3,0.0,0.0,0.278658814225,0.0371361660488
Signature.4,0.0822598583629,0.0,0.0704425222638,0.0
Signature.5,0.015180534568,0.429444760452,0.0,0.0
Signature.6,0.0273115491031,0.0,0.0,0.160366086679
Signature.7,0.0996210637904,0.0232759285838,0.0,0.0
Signature.8,0.0,0.0231357652236,0.0,0.0222452034983
Signature.9,0.117896379044,0.0,0.0,0.0193373785722
Signature.10,0.0175474395519,0.0200561570637,0.0,0.0103103963359
Signature.11,0.0,0.0,0.0202780392196,0.0
Signature.12,0.0553450673146,0.0,0.0,0.0
Signature.13,0.0809278470619,0.0,0.0183269191246,0.0
Signature.14,0.0,0.214048851357,0.0479916873802,0.0148872470791
Signature.15,0.0865813995734,0.0,0.0,0.0
Signature.16,0.0387562946077,0.0,0.0,0.1881087954
Signature.17,0.0771982001468,0.0,0.0,0.0
Signature.18,0.0,0.140503097928,0.036980528982,0.0143758796428
Signature.19,0.0393431159103,0.0,0.0,0.0
Signature.20,0.0,0.0,0.200338066718,0.0
Signature.21,0.0120889269712,0.0,0.0,0.295388569982
Signature.22,0.0175498906973,0.0,0.0189214694928,0.0993635630227
Signature.23,0.0134037521744,0.0253531832701,0.0,0.0
Signature.24,0.0,0.0,0.0,0.0
Signature.25,0.0268278726367,0.0,0.0,0.049250765073
Signature.26,0.0,0.072159051004,0.0,0.0
Signature.27,0.0175585232488,0.0,0.0166599230787,0.0756615272374
Signature.28,0.0,0.0384388382323,0.0,0.0
Signature.29,0.082339039094,0.0,0.0123470875573,0.0
Signature.30,0.0522563821718,0.0135843668853,0.108887448875,0.0
