,11:10:13:12:1:3:2:5:4:9:8,7,6
Signature.1,0.0409936169817,0.0,0.0
Signature.2,0.0129811635595,0.028131222699,0.0
Signature.3,0.0,0.0,0.0
Signature.4,0.0253865352133,0.0606354192608,0.0
Signature.5,0.279457790998,0.0,0.0
Signature.6,0.0884247218458,0.303302116013,0.0507791852733
Signature.7,0.0,0.0259788917379,0.0214942633507
Signature.8,0.0,0.0464214451285,0.0
Signature.9,0.0,0.0,0.0
Signature.10,0.0853860645701,0.0,0.0187517890332
Signature.11,0.0404498828663,0.0412421491363,0.0
Signature.12,0.0141992228783,0.0390617069693,0.0967366100155
Signature.13,0.0,0.0682907827287,0.137810932388
Signature.14,0.0,0.167144027195,0.120377866653
Signature.15,0.0,0.0,0.0
Signature.16,0.0230628890428,0.0,0.0134228029901
Signature.17,0.0,0.0,0.0
Signature.18,0.0,0.0567324176888,0.120531340578
Signature.19,0.0,0.0,0.0447191134556
Signature.20,0.0249102939561,0.0239307974223,0.0122515397386
Signature.21,0.0971467083964,0.0,0.0179147047279
Signature.22,0.0155779937384,0.0,0.0
Signature.23,0.118025517754,0.0,0.0
Signature.24,0.0119464909094,0.0385885358608,0.0
Signature.25,0.0,0.0,0.0
Signature.26,0.0455574273349,0.0818287635316,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.0,0.018711724628,0.345209851796
Signature.29,0.0,0.0,0.0
Signature.30,0.0764936799549,0.0,0.0
