,11:10:1:3:2:5:4:7:9:8,6
Signature.1,0.0,0.0
Signature.2,0.314694561773,0.0
Signature.3,0.0277102035394,0.0
Signature.4,0.0,0.0
Signature.5,0.0,0.0
Signature.6,0.0584074497935,0.0107711526803
Signature.7,0.0,0.0
Signature.8,0.0,0.135053874823
Signature.9,0.0477881140286,0.134390133969
Signature.10,0.0215870447865,0.0
Signature.11,0.0,0.0
Signature.12,0.0,0.0
Signature.13,0.0,0.0
Signature.14,0.0193439358079,0.0
Signature.15,0.0121213897412,0.0
Signature.16,0.0,0.0379444606564
Signature.17,0.012789349019,0.0
Signature.18,0.0760189712507,0.0
Signature.19,0.0,0.0473373202872
Signature.20,0.0,0.165495148953
Signature.21,0.170015189679,0.0357523502774
Signature.22,0.0328523176518,0.0
Signature.23,0.0,0.0
Signature.24,0.0,0.0
Signature.25,0.071607711266,0.132645764935
Signature.26,0.0,0.0
Signature.27,0.0,0.12678990793
Signature.28,0.0,0.0
Signature.29,0.114563212723,0.0
Signature.30,0.0205005489403,0.173819885487
