,11:1:3:2:5:4:7:6:8,9:10
Signature.1,0.204759714841,0.0
Signature.2,0.0,0.0
Signature.3,0.0628735739523,0.0
Signature.4,0.017074301581,0.0923297187987
Signature.5,0.0,0.0111402689612
Signature.6,0.237894726876,0.0457544690323
Signature.7,0.0,0.0
Signature.8,0.0,0.0
Signature.9,0.0,0.144721014679
Signature.10,0.0237571448492,0.0
Signature.11,0.0,0.0
Signature.12,0.0420611403225,0.0
Signature.13,0.0292010349203,0.139228664988
Signature.14,0.0,0.0
Signature.15,0.0,0.0
Signature.16,0.17482542196,0.0275258667505
Signature.17,0.01087868787,0.0
Signature.18,0.0,0.0
Signature.19,0.0636386476413,0.151277192932
Signature.20,0.0,0.0
Signature.21,0.0,0.107055463906
Signature.22,0.0312908991006,0.0
Signature.23,0.0,0.0
Signature.24,0.0,0.179303735083
Signature.25,0.0252888439179,0.0334087054512
Signature.26,0.0,0.0
Signature.27,0.0764558621675,0.0
Signature.28,0.0,0.0167942565298
Signature.29,0.0,0.0514606428877
Signature.30,0.0,0.0
