,11,10:12:3:5:4:7:6:9:8,1:13,2
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.0318553975881,0.138327334348,0.0,0.0
Signature.3,0.0974480479973,0.0270332706979,0.0199003894002,0.0
Signature.4,0.11283374886,0.0202799964251,0.0277534560644,0.0
Signature.5,0.0263376783797,0.0,0.0,0.0262248099951
Signature.6,0.0,0.01575815712,0.0153171214349,0.0
Signature.7,0.0298354792589,0.0237775907888,0.0,0.0
Signature.8,0.0360921787328,0.0358378600737,0.109417888782,0.0
Signature.9,0.0464795374716,0.143395613411,0.0207303522481,0.0
Signature.10,0.0,0.0,0.112371645439,0.0158529037144
Signature.11,0.0132828145302,0.0355438645847,0.0,0.0
Signature.12,0.0117802887738,0.0,0.0,0.337588120833
Signature.13,0.0640913917867,0.0371017064836,0.0,0.0
Signature.14,0.0,0.0154358960105,0.0,0.0787056451159
Signature.15,0.230910984752,0.0,0.0,0.0543447982713
Signature.16,0.0351175720942,0.0,0.0606878287094,0.0
Signature.17,0.0,0.0,0.0121906078139,0.0310282407207
Signature.18,0.0,0.0,0.0603989079972,0.168054964083
Signature.19,0.0423039201736,0.157981268476,0.0,0.075065353764
Signature.20,0.0128296011286,0.0120627959859,0.0453867118312,0.0
Signature.21,0.0217174913452,0.0,0.0,0.0
Signature.22,0.0173341044658,0.0,0.266575631167,0.0105111435613
Signature.23,0.0130171013453,0.0168211408961,0.160474055171,0.0
Signature.24,0.0711933116367,0.0,0.0,0.0
Signature.25,0.0,0.017787637479,0.0,0.0
Signature.26,0.0,0.0,0.0206652121307,0.111564870854
Signature.27,0.0,0.0,0.0,0.0335190713361
Signature.28,0.0698751321708,0.282500399204,0.0,0.0575400777508
Signature.29,0.0,0.0203554680154,0.0192054856918,0.0
Signature.30,0.0156642175091,0.0,0.0489247061185,0.0
