,11:1:3:4,10:5:7:6:9:8,2
Signature.1,0.0,0.0171608838017,0.0
Signature.2,0.0,0.0193262961107,0.0371192534822
Signature.3,0.0,0.0,0.0
Signature.4,0.0,0.0,0.0408157434077
Signature.5,0.0,0.0174900618235,0.292627520187
Signature.6,0.0,0.0136793262838,0.0108767184723
Signature.7,0.0,0.0,0.0
Signature.8,0.0640017532761,0.0,0.0
Signature.9,0.0,0.0698239660585,0.0
Signature.10,0.0870211001097,0.171648086333,0.0
Signature.11,0.187172034362,0.0290367905327,0.0410762313042
Signature.12,0.0,0.0,0.0
Signature.13,0.0,0.0363733085248,0.0323667274088
Signature.14,0.0,0.0,0.0703172242436
Signature.15,0.0237984200805,0.0,0.0
Signature.16,0.071149886024,0.0,0.0271639862042
Signature.17,0.0597242964009,0.0,0.13880142614
Signature.18,0.0545944214043,0.0385861073703,0.0
Signature.19,0.0,0.0337227497747,0.0
Signature.20,0.0,0.0,0.0792198366959
Signature.21,0.110958123144,0.0,0.0
Signature.22,0.0149172309475,0.287877760614,0.0
Signature.23,0.0,0.0436202153434,0.0
Signature.24,0.0185179862751,0.0,0.0383224696978
Signature.25,0.0,0.101355544173,0.0
Signature.26,0.0,0.0,0.0
Signature.27,0.0548897359288,0.120298903255,0.0
Signature.28,0.253255012048,0.0,0.0
Signature.29,0.0,0.0,0.159823193323
Signature.30,0.0,0.0,0.0314696694332
