,11,10:1:3:2:5:4:7:6:9:8,13:12
Signature.1,0.0,0.0254329166486,0.0
Signature.2,0.0,0.0,0.0
Signature.3,0.0,0.0198540264558,0.0
Signature.4,0.0,0.0,0.0
Signature.5,0.0,0.0396456046671,0.0
Signature.6,0.0226759200433,0.144540106754,0.0422172683521
Signature.7,0.0,0.0,0.0
Signature.8,0.0435400307925,0.0,0.0269234312668
Signature.9,0.0,0.0596645111197,0.0
Signature.10,0.0779688938605,0.344147086209,0.0
Signature.11,0.012122671488,0.0,0.0
Signature.12,0.0,0.0491483825131,0.133040637175
Signature.13,0.0269708226695,0.0958161224856,0.0
Signature.14,0.0153704476079,0.102917802622,0.0922039145817
Signature.15,0.0,0.0,0.11318654782
Signature.16,0.0563421039912,0.0690340612167,0.0
Signature.17,0.0,0.0,0.0
Signature.18,0.0,0.0,0.0571615269048
Signature.19,0.0,0.0,0.0
Signature.20,0.178590827015,0.0,0.049666209739
Signature.21,0.0,0.0,0.0498270600808
Signature.22,0.0,0.0113588959632,0.014430886678
Signature.23,0.0,0.0,0.0
Signature.24,0.500572905955,0.0,0.0
Signature.25,0.0658453765779,0.0384404833445,0.0453796901197
Signature.26,0.0,0.0,0.0290076382829
Signature.27,0.0,0.0,0.346955188999
Signature.28,0.0,0.0,0.0
Signature.29,0.0,0.0,0.0
Signature.30,0.0,0.0,0.0
