,11:10:13:12:1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.0767145879516
Signature.3,0.128566496564
Signature.4,0.0
Signature.5,0.0
Signature.6,0.104669301021
Signature.7,0.0978664008418
Signature.8,0.0242557473362
Signature.9,0.0
Signature.10,0.105293712058
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0814447608509
Signature.14,0.0939176463522
Signature.15,0.0
Signature.16,0.0669733642808
Signature.17,0.0
Signature.18,0.0184257187222
Signature.19,0.0711516066997
Signature.20,0.0197886669872
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0247634847684
Signature.24,0.0157151690157
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0584018821228
Signature.30,0.0120514544273
