,11:10:1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.0413014051607
Signature.3,0.0
Signature.4,0.072516816035
Signature.5,0.0310370837454
Signature.6,0.0193494339584
Signature.7,0.265174477216
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0236967860645
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0259523566872
Signature.16,0.0138516876107
Signature.17,0.0787437679219
Signature.18,0.116555560852
Signature.19,0.0
Signature.20,0.188648369359
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0661885783516
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0569836770377
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0
