,11:10:13:12:1:3:2:5:4:7:6:9:8
Signature.1,0.0365719714155
Signature.2,0.231218382152
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0199664465588
Signature.7,0.0
Signature.8,0.0103276186495
Signature.9,0.0
Signature.10,0.0
Signature.11,0.166990254116
Signature.12,0.0151234101643
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0690819043863
Signature.16,0.0
Signature.17,0.0175005807498
Signature.18,0.0577134281102
Signature.19,0.0174039454914
Signature.20,0.0
Signature.21,0.191042803877
Signature.22,0.0180230852446
Signature.23,0.0779192602353
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0113529469155
Signature.30,0.0597639619342
