,11:10:1:2:7:6:9:8,3:4,5
Signature.1,0.0,0.0,0.0
Signature.2,0.0314330777463,0.0,0.0
Signature.3,0.0,0.0,0.0695173608147
Signature.4,0.0323346104152,0.0,0.297240513072
Signature.5,0.0,0.0176753783417,0.0801033438454
Signature.6,0.0882741453728,0.0708932116931,0.033727577331
Signature.7,0.0229156229203,0.0260997354712,0.024796969249
Signature.8,0.0,0.0106350057146,0.0472430685846
Signature.9,0.171476160262,0.0,0.0
Signature.10,0.0,0.0,0.0560340517668
Signature.11,0.0851717805482,0.0,0.0164205092104
Signature.12,0.0,0.138470439086,0.0423578234512
Signature.13,0.0,0.224181709312,0.0433817694143
Signature.14,0.0,0.0,0.0193042295284
Signature.15,0.0,0.0454837584912,0.0237833269106
Signature.16,0.0487261689526,0.0,0.0
Signature.17,0.0,0.0,0.0
Signature.18,0.0,0.0,0.0
Signature.19,0.147114193154,0.0292963242568,0.0510271459569
Signature.20,0.0949889136635,0.0,0.0
Signature.21,0.0142902249169,0.0837091489403,0.0
Signature.22,0.138094313372,0.0,0.0
Signature.23,0.0,0.0496265520355,0.0
Signature.24,0.0,0.0797860824004,0.0
Signature.25,0.125180788677,0.0,0.0
Signature.26,0.0,0.185481205013,0.0786607291092
Signature.27,0.0,0.0132315223078,0.0
Signature.28,0.0,0.0,0.0930105360876
Signature.29,0.0,0.025429926937,0.023391045668
Signature.30,0.0,0.0,0.0
