,11,10:12:1:3:2:5:4:7:6:9:8,13
Signature.1,0.0,0.130465846529,0.0
Signature.2,0.0,0.0698973637174,0.0748540848142
Signature.3,0.0,0.0138497166462,0.0
Signature.4,0.0,0.0698267739222,0.122554667549
Signature.5,0.0537272663518,0.0,0.0
Signature.6,0.0,0.107057884254,0.0129186959756
Signature.7,0.0,0.0220441961069,0.0
Signature.8,0.0,0.0,0.0
Signature.9,0.0337337672128,0.0,0.0306214140672
Signature.10,0.0,0.0159329620969,0.0
Signature.11,0.0423177669997,0.0,0.0
Signature.12,0.0,0.0118997924471,0.136463123179
Signature.13,0.0,0.0153999195509,0.0
Signature.14,0.106833507936,0.0,0.0369502253038
Signature.15,0.0,0.034230218355,0.0
Signature.16,0.151196471771,0.0308579450249,0.0
Signature.17,0.0130673075355,0.0317487528333,0.248226055279
Signature.18,0.0,0.0,0.0
Signature.19,0.0,0.0,0.0
Signature.20,0.255028427745,0.0,0.0359426269931
Signature.21,0.0,0.0,0.0
Signature.22,0.270495749887,0.0,0.0141684967279
Signature.23,0.0,0.222884430948,0.0489034633819
Signature.24,0.0246595297529,0.0175358434677,0.0
Signature.25,0.0338495332715,0.1252867028,0.0
Signature.26,0.0,0.0113131068418,0.0107975643394
Signature.27,0.0,0.0219533589054,0.0295029573341
Signature.28,0.0150906715376,0.0,0.138626655383
Signature.29,0.0,0.0371967880792,0.0594699696723
Signature.30,0.0,0.010618397475,0.0
