,11:10:13:12,1:3:5:4:7:6:9:8,2
Signature.1,0.0,0.0676819366246,0.0
Signature.2,0.174837843512,0.0,0.0
Signature.3,0.0,0.0435921318603,0.0
Signature.4,0.0,0.0,0.0238288941606
Signature.5,0.0170120182818,0.0,0.0
Signature.6,0.0,0.0,0.0
Signature.7,0.0439864858924,0.0,0.0
Signature.8,0.0,0.0,0.099640243295
Signature.9,0.122241341833,0.0,0.0
Signature.10,0.0,0.0406214253544,0.0
Signature.11,0.0202943575766,0.0,0.0
Signature.12,0.0,0.191432629357,0.0
Signature.13,0.0167578263367,0.0,0.0419888726064
Signature.14,0.0,0.135679465113,0.0
Signature.15,0.0,0.0,0.0
Signature.16,0.0,0.0291907457937,0.0109534775058
Signature.17,0.0,0.0,0.103462534253
Signature.18,0.0,0.0660967608007,0.0670264390953
Signature.19,0.463731029276,0.0186146027954,0.0
Signature.20,0.0204944745111,0.0366182376011,0.0811379170424
Signature.21,0.0,0.0,0.0293399322183
Signature.22,0.0,0.0745609590761,0.0
Signature.23,0.0,0.0,0.0
Signature.24,0.0,0.0,0.0258361300031
Signature.25,0.0,0.0,0.0
Signature.26,0.0,0.0708083010543,0.0
Signature.27,0.0341526088847,0.0143392874859,0.146793952781
Signature.28,0.0661477752832,0.210763517084,0.17480577628
Signature.29,0.0203442386132,0.0,0.126408627062
Signature.30,0.0,0.0,0.0687772036982
